channelViewCount,totalviews/channelelapsedtime,likes/views,totvideos/videocount,videoCount,videoLikeCount,channelCommentCount,comments/views,dislikes/views,videoDislikeCount,videoCategoryId,likes/dislikes,channelDays
97433,1.8562909617436367,0.00406871609403255,6089.5625,16,18,0,0.0,0.000678119349005425,3,10,-2.0,2187.0
246146,4.748186728395061,0.001644736842105263,713.4666666666667,345,2,1,0.0,0.0,0,17,-2.0,2160.0
3939471,78.4630138623327,0.0059207139179680785,25253.019230769234,156,69,21,0.0006864595846919513,0.0,0,10,-2.0,2092.0
30958,0.6721816918533958,0.0005648805681084571,7739.5,4,7,0,8.069722401549386e-05,0.0,0,22,-2.0,1919.0
424885,8.398264547754586,0.01034928848641656,3319.4140625,128,16,3,0.00129366106080207,0.0,0,17,-2.0,2108.0
24072908,473.80152731853246,0.009100283911148171,122197.50253807107,197,4933,17,0.0006678091984260366,0.0009703525921881082,526,29,9.378326996197721,2117.0
313207,5.764263103651356,0.001206939904450591,8700.194444444445,36,48,13,0.00025144581342720644,0.0003017349761126477,12,15,-2.0,2264.0
117801,2.6821721311475413,0.00028160120149845966,9816.75,12,33,0,0.00031573468046797,0.0002645344620137046,31,24,-2.0,1830.0
22611,0.4499164278892073,0.0012186205215695832,1130.55,20,10,0,0.00012186205215695832,0.00012186205215695832,1,22,-2.0,2094.0
13924,0.26527968297515625,0.001663893510815308,580.1666666666666,24,3,0,0.0,0.0011092623405435386,2,10,-2.0,2187.0
1592366,32.20805016181229,0.00508521165475536,5434.6962457337895,293,37,110,0.0010995052226498076,0.00013743815283122595,1,20,-2.0,2060.0
2822,0.05443672839506173,0.0016813787305590586,313.5555555555556,9,4,0,0.0008406893652795293,0.0,0,17,-2.0,2160.0
287808,5.595893607092861,0.0015052240127501329,2741.0285714285715,105,17,0,0.00035417035594120767,8.854258898530193e-05,1,2,-2.0,2143.0
21703,0.4840961812990721,0.0020394289598912306,3100.4285714285716,7,3,0,0.0,0.0,0,22,-2.0,1868.0
18030,0.3454022988505747,0.004072398190045249,1202.0,15,9,0,0.00045248868778280556,0.0,0,2,-2.0,2175.0
2881536,52.68275559455902,0.039077874613438285,15165.97894736842,190,278,19,0.004638740511667136,0.0029519257801518127,21,17,-2.0,2279.0
220230,4.799293933054393,0.0011901219875037194,9575.217391304348,23,4,2,0.00029753049687592984,0.0005950609937518597,2,28,-2.0,1912.0
38314,0.7678771845438512,0.002783829581215202,1596.416666666667,24,23,2,0.00024207213749697406,0.0,0,24,-2.0,2079.0
308275,6.343106995884773,0.0049504950495049506,11009.821428571431,28,12,0,0.00041254125412541255,0.0,0,2,-2.0,2025.0
345565,7.582170440582763,0.001364256480218281,4799.51388888889,72,2,0,0.0,0.0,0,2,-2.0,1899.0
7877751,158.56986714975847,0.11631799163179915,4911.31608478803,1604,139,10,0.022594142259414227,0.0,0,23,-2.0,2070.0
237903,4.924304520615996,0.0029106555302455075,13994.294117647061,17,46,1,0.0006327512022272843,6.327512022272843e-05,1,22,-2.0,2013.0
23806,0.4794183985822458,0.0011258091753447788,1322.5555555555557,18,8,0,0.0,0.0002814522938361948,2,22,-2.0,2069.0
2482,0.044422966781214206,0.0008264462809917355,248.2,10,1,1,0.0,0.001652892561983471,2,26,-2.0,2328.0
8560631,174.33673427826653,0.0028075970272502066,1712126.2,5,17,0,0.0,0.00033030553261767135,2,10,-2.0,2046.0
12803,0.2554877075351213,0.0014064697609001409,4267.666666666667,3,2,0,0.0007032348804500702,0.0007032348804500702,1,26,-2.0,2088.0
35563,0.6556600294985251,0.0005681818181818183,3951.444444444444,9,3,1,0.0,0.0001893939393939394,1,22,-2.0,2260.0
153218,3.4620842371655822,0.001228045123518492,4942.5161290322585,31,43,0,0.0007139797229758674,0.0003998286448664858,14,28,-2.0,1844.0
25120,0.5373032169746749,0.0005631989701504545,8373.333333333334,3,14,0,4.022849786788961e-05,0.00020114248933944808,5,15,-2.0,1948.0
1128670,21.221984055354994,0.002594706798131811,1628.6724386724384,693,5,2,0.0,0.0,0,17,-2.0,2216.0
548319,10.562471104946834,0.008547008547008548,564.6951596292482,971,15,0,0.0,0.0005698005698005698,1,22,-2.0,2163.0
15639907,291.7022344076396,0.004052670496558785,18911.61668681983,827,285,23,0.0001706387577498436,0.000270178033103919,19,10,-2.0,2234.0
1048295,19.15743786549708,0.0031039834454216248,8126.317829457364,129,6,1,0.0,0.0005173305742369374,1,1,-2.0,2280.0
